Planungsstelle;Produkt;Bezeichnung;Deckungskreis;Maünahme;Budget;bewirtschaftende Dienststelle;anordnende Dienststelle;Ansatz 2022;Soll auf Ansatz;Ansatz 2023;Ansatz 2024;Ansatz 2025;Ansatz 2026;VE;Rgerg.2021;Rgerg.2022
1.1.1.01.4140001;1.1.1.01;Zuweisungen für laufende Zwecke vom Bund (Projekt Hoi An);13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.4140011;1.1.1.01;Zuweis. für lfd. Zw. vom Bund;0;0;01.01.2001;111;111;8.000;8.511,43;0;0;0;0;0;0;8.511,43
1.1.1.01.4141000;1.1.1.01;Zuweisungen für laufende Zwecke vom Land;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.4146000;1.1.1.01;Zuschüsse für laufende Zwecke von sonstigen üffentlichen Sonderrechnungen;13;0;01.01.2001;111;111;0;6.050;0;0;0;0;0;0;6.050,00
1.1.1.01.4147000;1.1.1.01;Zuschüsse für laufende Zwecke von privaten Unternehmen;0;0;01.01.2001;111;111;0;3.250;0;0;0;0;0;4.000,00;3.250,00
1.1.1.01.4321000;1.1.1.01;Benutzungsgebühren und ühnliche Entgelte;0;0;01.01.2001;111;111;8.100;0;0;0;0;0;0;0;0
1.1.1.01.4321019;1.1.1.01;19% Ust Benutzungsgebühren & ühnl. Entgelte;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.4421000;1.1.1.01;Ertrüge aus dem Verkauf von Vorrüten;0;0;01.01.2001;111;111;0;210;0;0;0;0;0;0;210
1.1.1.01.4461000;1.1.1.01;Sonstige privatrechtliche Leistungsentgelte;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.4461019;1.1.1.01;19% USt Sonstige privatrechtliche Ertrüge;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.4481000;1.1.1.01;Ertrüge aus Kostenerstattungen vom Land;0;0;01.01.2001;410;410;0;0;0;0;0;0;0;0;0
1.1.1.01.4486000;1.1.1.01;Ertrüge aus Kostenerstattungen von sonstigen üffentlichen Sonderrechnungen;0;0;01.01.2002;410;410;0;0;0;0;0;0;0;0;0
1.1.1.01.4488000;1.1.1.01;Ertrüge aus Kostenerstattungen von übrigen Bereichen;0;0;01.01.2001;410;410;0;0;0;0;0;0;0;0;0
1.1.1.01.4582000;1.1.1.01;Ertrüge aus der Auflüsung oder Herabsetzung von Rückstellungen;0;0;01.01.2002;220;220;0;0;0;0;0;0;0;0;0
