Dezernat/ Fachbereich 1,Budget Oberbürgermeister,,verantwortlich: Herr Gaffert
Produktklasse 1,Zentrale Verwaltung,,verantwortlich: Oberbürgermeister
Produktbereich 1.1,Innere Verwaltung,,zuständig: Frau Drogan
Produktgruppe 1.1.1,Verwaltungssteuerung und -service,,Produktart: internes Produkt
Produkt 1.1.1.06,Rechnungsprüfung,,Rechtsbindung: Pflichtaufgabe
Beschreibung,,,
Prüfung der Rechtmäßigkeit des Verwaltungshandelns,,,
Auftrag,,Zielgruppe,
"Gemeindeordnung, Gemeindehaushaltsverordnung, Dienstanweisungen, Haushaltsgrundsätzegesetz,",,"Verwaltung, Stadtrat, Fördermittelgeber",
Beschlüsse der politischen Gremien,,,
Leistung,,,
"Umsetzung der Prüfungspflicht, die der Rechnungs-prüfung unterzogen sind:",-Prüfung des Jahresabschlusses und des Gesamtabschlusses,,-die laufende Prüfung der Kassenvorgänge und Belege zur Vorbereitung
der Prüfung des Jahresabschlusses-Überwachung des Zahlungsverkehrs der Stadt und ihrer Sondervermögen,,-Prüfung von Vergaben,-Prüfung und Bestätigung von Verwendungs-nachweisen für Zuwendungen
"von Land und Bund-Prüfungstätigkeit, der durch Stadtratsbeschluss übertragenen Aufgaben",,,
