"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","33.508,72",38.100,37.500,37.500,37.500,37.500
5.7.1.01.6487000 Erträge aus Kostenerstattungen von privaten Unternehmen (HarzAG),"33.508,72",38.100,37.500,37.500,37.500,37.500
6 + sonstige Einzahlungen,"6.053,85",7.300,0,0,0,0
5.7.1.01.6521200 Einnahmen Mehrwertsteuer 19%,"4.385,46",7.300,0,0,0,0
5.7.1.01.6521216 Einnahmen Mehrwertsteuer 16%,"1.668,39",0,0,0,0,0
8 Einzahlungen aus laufender Verwaltungstätigkeit,"39.562,57",45.400,37.500,37.500,37.500,37.500
9 Personalauszahlungen,"148.176,41",142.700,147.200,150.200,153.500,156.900
5.7.1.01.7012000 Dienstauszahlungen und dgl. an Arbeitnehmer,"121.401,43",114.800,118.000,120.400,122.900,125.400
5.7.1.01.7022000 Beiträge zu Versorgungskassen für Arbeitnehmer,"5.084,21",4.800,4.900,5.000,5.100,5.300
5.7.1.01.7032000 Beiträge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer,"21.218,17",22.500,23.700,24.100,24.700,25.300
"5.7.1.01.7041000 Beihilfe, Unterstützungsleistung für Beschäftigte","472,60",600,600,700,800,900
11 + Auszahlungen für Sach- und Dienstleistungen,"15.307,77",15.600,20.600,20.600,20.600,20.600
5.7.1.01.7211000 Unterhaltung der Grundstücke und baulichen Anlagen,"0,00",0,5.000,5.000,5.000,5.000
5.7.1.01.7231000 Auszahlungen für Mieten und Pachten,"2.040,00",2.100,2.100,2.100,2.100,2.100
5.7.1.01.7241000 Bewirtschaftung der Grundstücke und baulichen Anlagen,"1.075,05",1.500,1.500,1.500,1.500,1.500
5.7.1.01.7271000 Besondere Verwaltungs- und Betriebsauszahlungen,"12.192,72",12.000,12.000,12.000,12.000,12.000
12 + Transferauszahlungen,"159.168,96",165.000,165.000,165.000,165.000,165.000
5.7.1.01.7313000 Zuweisungen an Zweckverbände,"147.168,96",150.000,150.000,150.000,150.000,150.000
5.7.1.01.7316000 Zuschüsse an sonstige öffentliche Sonderrechnungen,"12.000,00",15.000,15.000,15.000,15.000,15.000
13 + Sonstige Auszahlungen,"38.566,18",41.200,38.900,38.900,38.900,38.900
"5.7.1.01.7429000 Sonstige Auszahl. f. d. Inanspruchnahme von Rechten u.Diensten (Mitgliedsbeitr.)","589,05",900,900,900,900,900
5.7.1.01.7431000 Geschäftsauszahlungen,"12.672,20",12.000,13.000,13.000,13.000,13.000
"5.7.1.01.7431100 Auszahlungen für Sachverständigen-,Gerichts-und ähnl.Kosten","6.477,00",8.000,12.000,12.000,12.000,12.000
5.7.1.01.7441300 Abführung Mehrwertsteuer,"5.827,93",7.300,0,0,0,0
5.7.1.01.7457000 Erstatt. für die Auszahl. von Dritten aus lfd. Verwaltungstät. an priv. Untern.,"13.000,00",13.000,13.000,13.000,13.000,13.000
15 Auszahlungen aus laufender Verwaltungstätigkeit,"361.219,32",364.500,371.700,374.700,378.000,381.400
16 Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),"-321.656,75",-319.100,-334.200,-337.200,-340.500,-343.900
17 Investitionstätigkeit - Einzahlungen,"0,00",0,0,0,0,0,0
"19 + Veräußerung von Grundstücken, Gebäuden und Infrastrukturvermögen","245.457,00",150.000,150.000,150.000,150.000,150.000,0
"5.7.1.01/0003.6821000 Einzahlungen aus Veräußerung von Grundstücken,","245.457,00",150.000,150.000,150.000,150.000,150.000,0
"Gebäuden, Infrastrukturvermögen",,,,,,,
25 Einzahlungen aus Investitionstätigkeit,"245.457,00",150.000,150.000,150.000,150.000,150.000,0
26 Investitionstätigkeit - Auszahlungen,"0,00",0,0,0,0,0,0
33 Auszahlungen aus Investitionstätigkeit,"0,00",0,0,0,0,0,0
34 Saldo aus Investitionstätigkeit,"245.457,00",150.000,150.000,150.000,150.000,150.000,0
