2 + Zuweisungen und allgemeine Umlagen,"129.486,08",30.000,44.000,36.000,36.000,36.000,0
4 + öffentlich-rechtliche Leistungsentgelte,"2.180.235,08",2.589.100,2.589.100,2.790.100,3.253.100,3.253.100,0
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","96.077,81",344.600,429.700,299.700,324.700,319.700,0
6 + sonstige Einzahlungen,"140.962,87",246.500,0,0,0,0,0
7 + Zinsen und ähnliche Einzahlungen,"41.547,45",277.400,277.400,277.400,277.400,277.400,0
8  Einzahlungen aus laufender Verwaltungstätigkeit,"2.588.309,29",3.487.600,3.340.200,3.403.200,3.891.200,3.886.200,0
9Personalauszahlungen,"2.851.447,22",3.169.700,3.326.300,3.323.700,3.250.300,3.317.800,0
11 + Auszahlungen für Sach- und Dienstleistungen,"666.498,95",873.000,929.300,797.800,803.800,843.800,0
12 + Transferauszahlungen,"1.470.171,96",1.541.200,3.827.700,3.729.600,3.742.100,3.698.900,0
13 + Sonstige Auszahlungen,"3.135.574,46",4.004.300,1.411.900,1.233.100,1.338.600,1.313.300,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,"8.123.692,59",9.588.200,9.495.200,9.084.200,9.134.800,9.173.800,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),"-5.535.383,30",-6.100.600,-6.155.000,-5.681.000,-5.243.600,-5.287.600,0
17 Investitionstätigkeit - Einzahlungen,"0,00",0,0,0,0,0,0
18Zuwendungen für Investitonen und Investitionsförderungsmaßnahmen,"1.733,63",938.300,901.300,0,0,0,0
"19 + Veräußerung von Grundstücken, Gebäuden und Infrastrukturvermögen","245.457,00",150.000,150.000,150.000,150.000,150.000,0
20 + Veräußerung von beweglichem Anlagevermögen und immateriellen,"5.445,00",2.000,0,0,0,0,0
Vermögensgegenständen,,,,,,,
25 Einzahlungen aus Investitionstätigkeit,"252.635,63",1.090.300,1.051.300,150.000,150.000,150.000,0
26 Investitionstätigkeit - Auszahlungen,"0,00",0,0,0,0,0,0
29 + Erwerb von beweglichen Anlagevermögen und immateriellen,"172.756,06",301.300,283.000,641.000,291.000,291.000,0
Vermögensgegenständen,,,,,,,
31 + Baumaßnahmen,"0,00",987.700,50.000,0,0,0,0
33 Auszahlungen aus Investitionstätigkeit,"172.756,06",1.289.000,333.000,641.000,291.000,291.000,0
34 Saldo aus Investitionstätigkeit,"79.879,57",-198.700,718.300,-491.000,-141.000,-141.000,0
