2 + Zuweisungen und allgemeine Umlagen,"5.833,42",0,6.100,0,0,0,0
1.1.1.11.6141000 Zuweisungen für laufende Zwecke vom Land,"3.333,42",0,6.100,0,0,0,0
1.1.1.11.6144000 Zuweis.für lfd. Zwecke von gesetzlichen,"2.500,00",0,0,0,0,0,0
Sozialversicherungen (Agentur f. Arbeit),,,,,,,
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","33.253,53",7.000,7.100,7.100,7.100,7.100,0
1.1.1.11.6461000 Sonstige privatrechtliche Leistungsentgelte,"16.703,30",0,0,0,0,0,0
1.1.1.11.6480001 Einzahlungen aus Kostenerstattungen vom Bund,"250,00",3.000,3.600,3.600,3.600,3.600,0
1.1.1.11.6483000 Einzahlungen aus Kostenerstattungen von,"634,90",500,0,0,0,0,0
Zweckverbänden,,,,,,,
1.1.1.11.6485000 Einzahl. aus Kostenerstattungen von verbund.,"11.022,22",0,0,0,0,0,0
"Untern., Sondervermö. und Beteilig.",,,,,,,
1.1.1.11.6487000 Einzahlungen aus Kostenerstattungen von privaten,"975,00",1.000,1.000,1.000,1.000,1.000,0
Unternehmen,,,,,,,
1.1.1.11.6488000 Einzahlungen aus Kostenerstattungen von übrigen,"3.668,11",2.500,2.500,2.500,2.500,2.500,0
Bereichen,,,,,,,
8  Einzahlungen aus laufender Verwaltungstätigkeit,"39.086,95",7.000,13.200,7.100,7.100,7.100,0
9     Personalauszahlungen,"2.137.560,25",2.137.200,2.333.500,2.380.600,2.428.500,2.477.500,0
1.1.1.11.7012000Dienstauszahlungen und dgl. an Arbeitnehmer,"1.735.753,79",1.712.500,1.865.100,1.902.500,1.940.600,1.979.500,0
1.1.1.11.7019000 Dienstauszahlungen und dgl. an sonstige,"414,00",5.000,5.100,5.300,5.500,5.700,0
Beschäftigte,,,,,,,
1.1.1.11.7022000 Beiträge zu Versorgungskassen für Arbeitnehmer,"68.541,76",72.300,77.700,79.300,80.900,82.600,0
1.1.1.11.7032000 Beiträge zur gesetzlichen Sozialver.aus,"325.305,67",336.100,374.600,382.200,389.900,397.800,0
DienstAusz und dgl. für Arbeitnehmer,,,,,,,,
1.1.1.11.7039000 Beitr. zur gesetzl. Sozialvers. aus,"165,60",2.000,2.100,2.200,2.300,2.400,0
DienstAuszahl. und dgl. für sonst. Beschäft.,,,,,,,,
"1.1.1.11.7041000 Beihilfen, Unterstützungsleistungen für","7.379,43",9.300,8.900,9.100,9.300,9.500,0
Beschäftigte,,,,,,,,
11 + Auszahlungen für Sach- und Dienstleistungen,"368.329,42",323.700,384.000,410.000,425.000,425.000,0
1.1.1.11.7211014 Unterhaltung der Grundstücke und baulichen,"41.935,56",0,0,0,0,0,0
Anlagen-Gebäudemanagement,,,,,,,,
1.1.1.11.7221000Unterhaltung des sonstigen unbeweglichen Vermögens,"7.447,43",14.000,15.000,15.000,15.000,15.000,0
1.1.1.11.7231000Auszahlungen für Mieten und Pachten,"1.005,86",2.500,1.500,1.500,1.500,1.500,0
1.1.1.11.7232000Auszahlungen für Leasing,"0,00",15.000,44.000,70.000,85.000,85.000,0
1.1.1.11.7241000 Bewirtschaftung der Grundstücke und baulichen,"12.065,92",13.000,14.000,14.000,14.000,14.000,0
Anlagen,,,,,,,,
1.1.1.11.7251000 Haltung von Fahrzeugen,,"254.273,93",220.000,250.000,250.000,250.000,250.000,0
1.1.1.11.7252000 Erwerb geringwertiger Vermögensgegenstände,,"6.076,11",10.000,10.000,10.000,10.000,10.000,0
1.1.1.11.7255000 Unterhaltung des sonstigen beweglichen Vermögens,,"22.083,75",27.000,25.000,25.000,25.000,25.000,0
1.1.1.11.7261000 Besondere zahlungswirksame Aufwendungen für,,"20.523,68",20.000,22.000,22.000,22.000,22.000,0
Beschäftigte,,,,,,,,
1.1.1.11.7271000 Besondere Verwaltungs- und Betriebsauszahlungen,,"2.917,18",2.200,2.500,2.500,2.500,2.500,0
13 + Sonstige Auszahlungen,,"27.723,14",4.700,5.200,5.200,5.200,5.200,0
1.1.1.11.7411000 Sonstige Personal- und Versorgungsauszahlungen,,"618,03",0,0,0,0,0,0
1.1.1.11.7429000 Sonstige Auszahl. f. d. Inanspruchnahme von,,"130,00",200,200,200,200,200,0
Rechten u.Diensten (Mitgliedsbeitr.),,,,,,,,
1.1.1.11.7431000 Geschäftsauszahlungen,,"2.379,46",4.500,5.000,5.000,5.000,5.000,0
1.1.1.11.7431400 Auszahlungen für Beitragsservice (GEZ),,"420,00",0,0,0,0,0,0
