Dezernat/ Fachbereich 4,Budget Bürgerservice,,verantwortlich: Herr Dorff
Produktklasse 2,Schule und Kultur,,verantwortlich: Dezernent I
Produktbereich 2.8,Örtliche Kulturaufgaben,,zuständig: Frau Lisowski
Produktgruppe 2.8.1,Heimat- und sonstige Kulturpflege,,Produktart: externes Produkt
Produkt 2.8.1.01,Heimat-und Kulturpflege,,Rechtsbindung: Freiwillige Aufgabe
Beschreibung,,,
"Bearbeitung, Durchführung und Förderung von kulturellen Angelegenheiten",,,
Auftrag,,Zielgruppe,
Beschlüsse der politischen Gremien,,"EinwohnerInnen, interessierte Öffentlichkeit, Kulturvereine und Kulturverbände, Gäste",
Ziele,,,
"Heimat- und Kulturpflege, Brauchtumspflege",,,
Leistung,,,
"-Förderung und sonstige sächliche Unterstützung der Kulturvereine und Kulturverbände -Öffentlichkeitsarbeit, Erstellung des Veranstaltungskalenders und sonstiger Publikationen -Inhaltliche Pflege der",,,
Internetseite im Bereich Kultur -Organisation und Mitwirkung an kulturellen Veranstaltungen (z. B. Stadtfeste),,,
