2 + Zuweisungen und allgemeine Umlagen,"159.919,92",193.100,198.000,207.500,223.000,232.600,0
3.6.5.02.16.6142000 Zuweisungen für laufende Zwecke von Gemeinden und,"159.919,92",193.100,198.000,207.500,223.000,232.600,0
Gemeindeverbänden,,,,,,,
4 + öffentlich-rechtliche Leistungsentgelte,"96.921,04",128.500,126.800,128.700,130.700,132.600,0
3.6.5.02.16.6321000 Benutzungsgebühren und ähnliche Entgelte,"96.921,04",128.500,126.800,128.700,130.700,132.600,0
"5 + privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen","11.154,00",0,0,0,0,0,0
3.6.5.02.16.6482000 Einzahlungen aus Kostenerstattungen von Gemeinden,"11.154,00",0,0,0,0,0,0
und Gemeindeverbänden,,,,,,,
8  Einzahlungen aus laufender Verwaltungstätigkeit,"267.994,96",321.600,324.800,336.200,353.700,365.200,0
9Personalauszahlungen,"283.120,55",279.600,305.700,312.200,318.700,325.300,0
3.6.5.02.16.7012000 Dienstauszahlungen und dgl. an Arbeitnehmer,"228.782,88",224.600,244.900,249.900,255.000,260.200,0
3.6.5.02.16.7022000 Beiträge zu Versorgungskassen für Arbeitnehmer,"9.296,58",9.600,10.300,10.600,10.900,11.200,0
3.6.5.02.16.7032000 Beiträge zur gesetzlichen Sozialver.aus,"44.089,80",44.100,49.300,50.400,51.400,52.500,0
DienstAusz und dgl. für Arbeitnehmer,,,,,,,
"3.6.5.02.16.7041000 Beihilfen, Unterstützungsleistungen für","951,29",1.300,1.200,1.300,1.400,1.400,0
Beschäftigte,,,,,,,
11 + Auszahlungen für Sach- und Dienstleistungen,"17.238,81",10.500,10.900,10.900,10.900,10.900,0
3.6.5.02.16.7211000 Unterhaltung der Grundstücke und baulichen Anlagen,"2.322,47",800,500,500,500,500,0
3.6.5.02.16.7211014 Unterhaltung der Grundstücke und baulichen,"12.443,49",0,0,0,0,0,0
Anlagen-Gebäudemanagement,,,,,,,
3.6.5.02.16.7221000 Unterhaltung des sonstigen unbeweglichen Vermögens,"806,28",1.100,1.200,1.200,1.200,1.200,0
3.6.5.02.16.7231000 Auszahlungen für Mieten und Pachten,"437,44",400,400,400,400,400,0
3.6.5.02.16.7241000 Bewirtschaftung der Grundstücke und baulichen,"402,05",4.400,4.400,4.400,4.400,4.400,0
Anlagen,,,,,,,
3.6.5.02.16.7252000 Erwerb geringwertiger Vermögensgegenstände,"413,69",1.100,1.100,1.100,1.100,1.100,0
3.6.5.02.16.7255000 Unterhaltung des sonstigen beweglichen Vermögens,"20,73",100,200,200,200,200,0
3.6.5.02.16.7271000 Besondere Verwaltungs- und Betriebsauszahlungen,"392,66",2.500,2.700,2.700,2.700,2.700,0
3.6.5.02.16.7291000 Auszahlungen für sonstige Dienstleistungen,"0,00",100,400,400,400,400,0
13 + Sonstige Auszahlungen,"369,04",1.600,2.100,3.100,3.100,3.100,0
3.6.5.02.16.7431000 Geschäftsauszahlungen,"339,84",600,600,600,600,600,0
3.6.5.02.16.7431200 Auszahlungen für Honorare,"29,20",1.000,1.500,2.500,2.500,2.500,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,"300.728,40",291.700,318.700,326.200,332.700,339.300,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),"-32.733,44",29.900,6.100,10.000,21.000,25.900,0
"17 Investitionstätigkeit - Einzahlungen","0,00",0,0,0,0,0,0
"25 Einzahlungen aus Investitionstätigkeit","0,00",0,0,0,0,0,0
"26 Investitionstätigkeit - Auszahlungen ","0,00",0,0,0,0,0,0
"29 + Erwerb von beweglichen Anlagevermögen und immateriellen ","0,00",0,2.500,2.600,1.600,1.600,0
"Vermögensgegenständen",,,,,,,
"3.6.5.02.16/0100.7832000          Ausz. f.d. Erw. v. beweg. Vermögensgegenständen ","0,00",0,2.500,2.600,1.600,1.600,0
"v. > 150 bis 1000 € o. UStr.",,,,,,,
"33 Auszahlungen aus Investitionstätigkeit ","0,00",0,2.500,2.600,1.600,1.600,0
"34 Saldo aus Investitionstätigkeit","0,00",0,-2.500,-2.600,-1.600,-1.600,0
