department id,product class id,product domain id,product group id,product id,sub product id,account id,account description,sub account id,sub account description,above value limit category,above value limit sub category,budget 2020,budget 2021,budget 2022,budget 2023,budget 2024,budget 2025
4,1,2,6,01,,2,Zuweisungen und allgemeine Umlagen,1.2.6.01.6141000,Zuweisungen für laufende Zwecke vom Land,,,19400.000000,20803.680000,32300.000000,19400.000000,19400.000000,19400.000000
4,1,2,6,01,,4,öffentlich-rechtliche Leistungsentgelte,1.2.6.01.6321000,Benutzungsgebühren und ähnliche Entgelte,,,19223.980000,21000.000000,21000.000000,21000.000000,21000.000000,21000.000000
4,1,2,6,01,,5,"privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen",1.2.6.01.6485000,"Einzahl. aus Kostenerstattungen von verbund. Untern., Sondervermö. und Beteilig.",,,7000.000000,7000.000000,4733.000000,7000.000000,7000.000000,7000.000000
4,1,2,6,01,,5,"privatrechtliche Leistungsentgelte, Kostenerstattungen, Kostenumlagen",1.2.6.01.6488000,Einzahlungen aus Kostenerstattungen von übrigen Bereichen,,,601.560000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1,2,6,01,,9,Personalauszahlungen,1.2.6.01.7011000,Dienstauszahlungen und dgl. an Beamte,,,-97827.130000,-196000.000000,-214000.000000,-211700.000000,-216000.000000,-220400.000000
4,1,2,6,01,,9,Personalauszahlungen,1.2.6.01.7012000,Dienstauszahlungen und dgl. an Arbeitnehmer,,,-637500.000000,-650300.000000,-663300.000000,-676931.760000,-610000.000000,-624900.000000
4,1,2,6,01,,9,Personalauszahlungen,1.2.6.01.7021000,Beiträge zu Versorgungskassen für Beamte,,,-202500.000000,-139959.870000,-185900.000000,-199400.000000,-194600.000000,-198500.000000
4,1,2,6,01,,9,Personalauszahlungen,1.2.6.01.7022000,Beiträge zu Versorgungskassen für Arbeitnehmer,,,-25730.810000,-25600.000000,-26300.000000,-26900.000000,-27500.000000,-28100.000000
4,1,2,6,01,,9,Personalauszahlungen,1.2.6.01.7032000,Beiträge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer,,,-127900.000000,-130500.000000,-133200.000000,-126672.510000,-119600.000000,-125300.000000
4,1,2,6,01,,9,Personalauszahlungen,1.2.6.01.7041000,"Beihilfen, Unterstützungsleistungen für Beschäftigte",,,-2625.710000,-3600.000000,-3000.000000,-3100.000000,-3200.000000,-3300.000000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7211014,Unterhaltung der Grundstücke und baulichen Anlagen-Gebäudemanagement,,,-42159.020000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7221000,Unterhaltung des sonstigen unbeweglichen Vermögens,,,-35000.000000,-35000.000000,-1259.160000,-35000.000000,-35000.000000,-35000.000000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7241000,Bewirtschaftung der Grundstücke und baulichen Anlagen,,,-10.370000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7251000,Haltung von Fahrzeugen,,,-60000.000000,-60000.000000,-60000.000000,-60000.000000,-60000.000000,-49638.900000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7252000,Erwerb geringwertiger Vermögensgegenstände,,,-12000.000000,-12000.000000,-16558.960000,-7000.000000,-12000.000000,-12000.000000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7255000,Unterhaltung des sonstigen beweglichen Vermögens,,,-20000.000000,-22000.000000,-22000.000000,-22000.000000,-22000.000000,-17551.090000
4,1,2,6,01,,11,Auszahlungen für Sach- und Dienstleistungen,1.2.6.01.7261000,Besondere zahlungswirksame Aufwendungen für Beschäftigte,,,-52000.000000,-49972.230000,-52000.000000,-52000.000000,-52000.000000,-52000.000000
